,Ticker Code,Initial Capital,Total Capital Gain,Capital Gain Percentage,Transaction Fee,Number Purchased,Number Sold,Indicator,Stock Layer,Fraction
185,ADMG,34323.0,-15903.0,-46,2303,10,10,MFII_14_OR_CCI_20_OR_SO_14,LAYER_3,Fraksi_1
186,ADMG,34523.0,-15422.0,-44,491,3,2,MFII_14_AND_CCI_20_OR_SO_14,LAYER_3,Fraksi_1
187,ADMG,34523.0,-15422.0,-44,491,3,2,MFII_14_OR_CCI_20_AND_SO_14,LAYER_3,Fraksi_1
188,ADMG,34523.0,-11639.0,-33,508,3,2,BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_3,Fraksi_1
189,ADMG,34323.0,-15170.0,-44,3136,14,13,BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_3,Fraksi_1
190,ADMG,34323.0,-15755.0,-45,1355,6,6,BB_MAVG_20_AND_CCI_20_OR_SO_14,LAYER_3,Fraksi_1
191,ADMG,34323.0,-14652.0,-42,1918,9,8,BB_MAVG_20_OR_CCI_20_AND_SO_14,LAYER_3,Fraksi_1
208,INOV,37735.0,0.0,0,135,1,0,MFII_14_AND_BB_MAVG_20_AND_CCI_20,LAYER_3,Fraksi_1
209,INOV,37534.0,4162.0,11,3782,12,11,MFII_14_OR_BB_MAVG_20_OR_CCI_20,LAYER_3,Fraksi_1
210,INOV,37534.0,5308.0,14,1436,5,4,MFII_14_AND_BB_MAVG_20_OR_CCI_20,LAYER_3,Fraksi_1
211,INOV,37534.0,8294.0,22,1450,5,4,MFII_14_OR_BB_MAVG_20_AND_CCI_20,LAYER_3,Fraksi_1
212,INOV,37735.0,0.0,0,135,1,0,MFII_14_AND_BB_MAVG_20_AND_SO_14,LAYER_3,Fraksi_1
213,INOV,37534.0,8230.0,21,2116,7,6,MFII_14_OR_BB_MAVG_20_OR_SO_14,LAYER_3,Fraksi_1
214,INOV,37534.0,10807.0,28,1137,4,3,MFII_14_AND_BB_MAVG_20_OR_SO_14,LAYER_3,Fraksi_1
215,INOV,37534.0,7927.0,21,817,3,2,MFII_14_OR_BB_MAVG_20_AND_SO_14,LAYER_3,Fraksi_1
216,INOV,37735.0,3077.0,8,323,1,1,MFII_14_AND_CCI_20_AND_SO_14,LAYER_3,Fraksi_1
217,INOV,37534.0,5308.0,14,1436,5,4,MFII_14_OR_CCI_20_OR_SO_14,LAYER_3,Fraksi_1
218,INOV,37534.0,10807.0,28,1137,4,3,MFII_14_AND_CCI_20_OR_SO_14,LAYER_3,Fraksi_1
219,INOV,37534.0,3548.0,9,786,3,2,MFII_14_OR_CCI_20_AND_SO_14,LAYER_3,Fraksi_1
220,INOV,37534.0,3676.0,9,468,2,1,BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_3,Fraksi_1
221,INOV,37534.0,4162.0,11,3782,12,11,BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_3,Fraksi_1
222,INOV,37534.0,10882.0,28,1462,5,4,BB_MAVG_20_AND_CCI_20_OR_SO_14,LAYER_3,Fraksi_1
223,INOV,37534.0,8230.0,21,2116,7,6,BB_MAVG_20_OR_CCI_20_AND_SO_14,LAYER_3,Fraksi_1
320,BEST,24889.0,3978.0,15,313,2,1,MFII_14_AND_BB_MAVG_20_AND_CCI_20,LAYER_3,Fraksi_1
321,BEST,25290.0,-8890.0,-35,4490,20,20,MFII_14_OR_BB_MAVG_20_OR_CCI_20,LAYER_3,Fraksi_1
322,BEST,25290.0,-5424.0,-21,2424,11,11,MFII_14_AND_BB_MAVG_20_OR_CCI_20,LAYER_3,Fraksi_1
323,BEST,25290.0,-3166.0,-12,1766,8,8,MFII_14_OR_BB_MAVG_20_AND_CCI_20,LAYER_3,Fraksi_1
324,BEST,24889.0,2784.0,11,307,2,1,MFII_14_AND_BB_MAVG_20_AND_SO_14,LAYER_3,Fraksi_1
325,BEST,25290.0,-7162.0,-28,2962,13,13,MFII_14_OR_BB_MAVG_20_OR_SO_14,LAYER_3,Fraksi_1
326,BEST,24086.0,-6298.0,-26,1098,5,5,MFII_14_AND_BB_MAVG_20_OR_SO_14,LAYER_3,Fraksi_1
327,BEST,24086.0,-3112.0,-12,1112,5,5,MFII_14_OR_BB_MAVG_20_AND_SO_14,LAYER_3,Fraksi_1
328,BEST,24889.0,3978.0,15,313,2,1,MFII_14_AND_CCI_20_AND_SO_14,LAYER_3,Fraksi_1
329,BEST,25290.0,-5825.0,-23,2425,11,11,MFII_14_OR_CCI_20_OR_SO_14,LAYER_3,Fraksi_1
330,BEST,24086.0,-6298.0,-26,1098,5,5,MFII_14_AND_CCI_20_OR_SO_14,LAYER_3,Fraksi_1
331,BEST,24086.0,-4702.0,-19,1102,5,5,MFII_14_OR_CCI_20_AND_SO_14,LAYER_3,Fraksi_1
332,BEST,24086.0,-322.0,-1,1122,5,5,BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_3,Fraksi_1
333,BEST,25290.0,-8890.0,-35,4490,20,20,BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_3,Fraksi_1
334,BEST,25290.0,-6753.0,-26,1753,8,8,BB_MAVG_20_AND_CCI_20_OR_SO_14,LAYER_3,Fraksi_1
335,BEST,25290.0,-7162.0,-28,2962,13,13,BB_MAVG_20_OR_CCI_20_AND_SO_14,LAYER_3,Fraksi_1
336,DMAS,0.0,0.0,0,0,0,0,MFII_14_AND_BB_MAVG_20_AND_CCI_20,LAYER_2,Fraksi_1
337,DMAS,20473.0,6661.0,32,4855,23,22,MFII_14_OR_BB_MAVG_20_OR_CCI_20,LAYER_2,Fraksi_1
338,DMAS,20473.0,6883.0,33,2225,11,10,MFII_14_AND_BB_MAVG_20_OR_CCI_20,LAYER_2,Fraksi_1
339,DMAS,20473.0,8493.0,41,1815,9,8,MFII_14_OR_BB_MAVG_20_AND_CCI_20,LAYER_2,Fraksi_1
340,DMAS,0.0,0.0,0,0,0,0,MFII_14_AND_BB_MAVG_20_AND_SO_14,LAYER_2,Fraksi_1
341,DMAS,20473.0,10435.0,50,4281,20,19,MFII_14_OR_BB_MAVG_20_OR_SO_14,LAYER_2,Fraksi_1
342,DMAS,22480.0,4910.0,21,1003,5,4,MFII_14_AND_BB_MAVG_20_OR_SO_14,LAYER_2,Fraksi_1
343,DMAS,22480.0,4160.0,18,753,4,3,MFII_14_OR_BB_MAVG_20_AND_SO_14,LAYER_2,Fraksi_1
344,DMAS,0.0,0.0,0,0,0,0,MFII_14_AND_CCI_20_AND_SO_14,LAYER_2,Fraksi_1
345,DMAS,20473.0,6837.0,33,2471,12,11,MFII_14_OR_CCI_20_OR_SO_14,LAYER_2,Fraksi_1
346,DMAS,22480.0,4910.0,21,1003,5,4,MFII_14_AND_CCI_20_OR_SO_14,LAYER_2,Fraksi_1
347,DMAS,22480.0,2368.0,10,745,4,3,MFII_14_OR_CCI_20_AND_SO_14,LAYER_2,Fraksi_1
348,DMAS,22480.0,4558.0,20,755,4,3,BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_2,Fraksi_1
349,DMAS,20473.0,5866.0,28,4850,23,22,BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_2,Fraksi_1
350,DMAS,20473.0,11233.0,54,2075,10,9,BB_MAVG_20_AND_CCI_20_OR_SO_14,LAYER_2,Fraksi_1
351,DMAS,20473.0,10235.0,49,4281,20,19,BB_MAVG_20_OR_CCI_20_AND_SO_14,LAYER_2,Fraksi_1
66,ADMG,31312.0,-3042.0,-9,327,2,1,MFII_14_AND_BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_3,Fraksi_1
67,ADMG,34323.0,-15422.0,-44,3222,14,14,MFII_14_OR_BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_3,Fraksi_1
68,ADMG,34523.0,-15422.0,-44,491,3,2,MFII_14_AND_BB_MAVG_20_AND_CCI_20_OR_SO_14,LAYER_3,Fraksi_1
69,ADMG,34323.0,-14851.0,-43,1917,9,8,MFII_14_OR_BB_MAVG_20_OR_CCI_20_AND_SO_14,LAYER_3,Fraksi_1
70,ADMG,34523.0,-15422.0,-44,491,3,2,MFII_14_OR_BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_3,Fraksi_1
71,ADMG,34323.0,-15651.0,-45,2217,10,9,MFII_14_AND_BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_3,Fraksi_1
78,INOV,37735.0,0.0,0,135,1,0,MFII_14_AND_BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_3,Fraksi_1
79,INOV,37534.0,4162.0,11,3782,12,11,MFII_14_OR_BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_3,Fraksi_1
80,INOV,37534.0,10807.0,28,1137,4,3,MFII_14_AND_BB_MAVG_20_AND_CCI_20_OR_SO_14,LAYER_3,Fraksi_1
81,INOV,37534.0,8230.0,21,2116,7,6,MFII_14_OR_BB_MAVG_20_OR_CCI_20_AND_SO_14,LAYER_3,Fraksi_1
82,INOV,37534.0,3278.0,8,466,2,1,MFII_14_OR_BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_3,Fraksi_1
83,INOV,37534.0,5308.0,14,1436,5,4,MFII_14_AND_BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_3,Fraksi_1
120,BEST,24889.0,3978.0,15,313,2,1,MFII_14_AND_BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_3,Fraksi_1
121,BEST,25290.0,-8890.0,-35,4490,20,20,MFII_14_OR_BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_3,Fraksi_1
122,BEST,24086.0,-6298.0,-26,1098,5,5,MFII_14_AND_BB_MAVG_20_AND_CCI_20_OR_SO_14,LAYER_3,Fraksi_1
123,BEST,25290.0,-7162.0,-28,2962,13,13,MFII_14_OR_BB_MAVG_20_OR_CCI_20_AND_SO_14,LAYER_3,Fraksi_1
124,BEST,24086.0,-1516.0,-6,1116,5,5,MFII_14_OR_BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_3,Fraksi_1
125,BEST,25290.0,-5825.0,-23,2425,11,11,MFII_14_AND_BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_3,Fraksi_1
126,DMAS,0.0,0.0,0,0,0,0,MFII_14_AND_BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_2,Fraksi_1
127,DMAS,20473.0,5866.0,28,4850,23,22,MFII_14_OR_BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_2,Fraksi_1
128,DMAS,22480.0,4910.0,21,1003,5,4,MFII_14_AND_BB_MAVG_20_AND_CCI_20_OR_SO_14,LAYER_2,Fraksi_1
129,DMAS,20473.0,10235.0,49,4281,20,19,MFII_14_OR_BB_MAVG_20_OR_CCI_20_AND_SO_14,LAYER_2,Fraksi_1
130,DMAS,22480.0,4558.0,20,755,4,3,MFII_14_OR_BB_MAVG_20_AND_CCI_20_AND_SO_14,LAYER_2,Fraksi_1
131,DMAS,20473.0,6837.0,33,2471,12,11,MFII_14_AND_BB_MAVG_20_OR_CCI_20_OR_SO_14,LAYER_2,Fraksi_1
