,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,SO,BB_MAVG_20,BB_atas_20,BB_bawah_20,CCI_20,SO_14
30,2019-08-05,29400.0,105,29505.0,0.0,BUY, , ,289.8,311.99549503840615,267.6045049615939,25.8431887866842,37.03703703703704
31,2019-08-06,31000.0,142,29505.0,1353.0, ,SELL, ,291.1,314.7803716187038,267.41962838129626,26.204752387297386,70.96774193548387
32,2019-08-15,30600.0,110,30710.0,0.0,BUY, , ,301.0,323.21711052319574,278.78288947680426,18.018018018017827,68.96551724137932
33,2019-08-16,31600.0,145,30710.0,745.0,SELL,SELL,SELL,302.6,324.2923949807276,280.90760501927247,78.06591031874659,86.20689655172414
34,2019-08-21,30800.0,110,30910.0,0.0,BUY, , ,306.9,318.10535586226007,295.6946441377399,33.61711416721159,77.77777777777777
35,2019-08-22,31000.0,142,30910.0,-52.0, ,SELL,SELL,307.1,318.3765242872033,295.8234757127967,11.737089201877643,81.48148148148148
36,2019-08-23,30600.0,110,30710.0,0.0,BUY,BUY, ,307.2,318.39999999999486,296.0000000000051,-4.79616306954409,74.07407407407408
37,2019-08-30,31000.0,142,30710.0,148.0, ,SELL, ,307.8,318.06839812238917,297.53160187761085,44.59124690338553,54.54545454545455
38,2019-09-02,31000.0,111,31111.0,0.0,BUY, , ,308.6,316.70925397307815,300.4907460269219,37.17948717948723,54.54545454545455
39,2019-10-10,30000.0,138,31111.0,-1249.0, ,SELL,SELL,293.0,301.62554346113336,284.37445653886664,77.38095238095296,100.0
40,2019-10-30,30000.0,108,30108.0,0.0, , ,BUY,299.6,311.0262854856642,288.17371451433587,79.18968692449296,10.0
41,2019-10-31,30200.0,138,30108.0,-46.0, ,SELL, ,300.1,311.01604323919156,289.1839567608085,29.16666666666705,20.0
42,2019-11-20,31400.0,113,31513.0,0.0,BUY,BUY,BUY,317.8,343.1266657892411,292.47333421075894,-13.185002060156531,19.23076923076923
43,2019-12-02,33200.0,152,31513.0,1535.0,SELL,SELL, ,322.1,341.30312474572617,302.8968752542739,78.52193995381063,63.63636363636363
44,2019-12-03,32400.0,116,32516.0,0.0,BUY, , ,321.9,340.93575582948887,302.8642441705111,33.182503770739245,51.515151515151516
