,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,BB_MAVG_20
44,2019-06-27,51000.0,183,51183.0,0.0,BUY, ,512.25
45,2019-07-01,51500.0,236,51183.0,81.0, ,SELL,512.25
46,2019-07-02,50000.0,180,50180.0,0.0,BUY, ,512.0
47,2019-07-09,51500.0,236,50180.0,1084.0, ,SELL,511.45
48,2019-07-10,51500.0,185,51685.0,0.0,BUY, ,511.7
49,2019-07-11,51500.0,236,51685.0,-421.0, ,SELL,511.7
50,2019-07-12,51000.0,183,51183.0,0.0,BUY, ,511.95
51,2019-07-24,51000.0,234,51183.0,-417.0, ,SELL,506.7
52,2019-07-25,52500.0,189,52689.0,0.0,BUY, ,507.45
53,2019-07-26,53500.0,246,52689.0,565.0,SELL, ,509.2
54,2019-08-05,54000.0,194,54194.0,0.0,BUY, ,521.5
55,2019-08-06,54000.0,248,54194.0,-442.0, ,SELL,522.75
56,2019-08-13,53500.0,192,53692.0,0.0,BUY, ,531.5
57,2019-08-14,55000.0,253,53692.0,1055.0,SELL, ,533.5
58,2019-08-15,53500.0,192,53692.0,0.0,BUY, ,534.75
59,2019-08-16,54000.0,248,53692.0,60.0, ,SELL,536.25
60,2019-08-19,54000.0,194,54194.0,0.0,BUY, ,538.25
61,2019-08-20,54000.0,248,54194.0,-442.0, ,SELL,540.25
62,2019-08-21,55000.0,198,55198.0,0.0,BUY, ,542.25
63,2019-08-22,54500.0,250,55198.0,-948.0, ,SELL,543.25
64,2019-08-23,54500.0,196,54696.0,0.0,BUY, ,543.75
65,2019-08-28,54500.0,250,54696.0,-446.0, ,SELL,544.5
66,2019-08-29,50000.0,180,50180.0,0.0,BUY, ,542.0
67,2019-08-30,56000.0,257,50180.0,5563.0, ,SELL,542.5
68,2019-09-02,55000.0,198,55198.0,0.0,BUY, ,543.0
69,2019-09-03,55000.0,253,55198.0,-451.0, ,SELL,543.5
70,2019-09-04,53000.0,190,53190.0,0.0,BUY, ,542.5
71,2019-09-27,52000.0,239,53190.0,-1429.0, ,SELL,520.65
72,2019-09-30,51000.0,183,51183.0,0.0,BUY, ,518.65
73,2019-10-08,52000.0,239,51183.0,578.0, ,SELL,511.8
74,2019-10-09,52000.0,187,52187.0,0.0,BUY, ,511.3
75,2019-10-11,51500.0,236,52187.0,-923.0, ,SELL,510.05
76,2019-10-14,51500.0,185,51685.0,0.0,BUY, ,510.3
77,2019-10-16,51500.0,236,51685.0,-421.0,SELL, ,509.8
78,2019-10-17,52000.0,187,52187.0,0.0,BUY, ,510.05
79,2019-10-18,51500.0,236,52187.0,-923.0, ,SELL,510.3
80,2019-10-21,51500.0,185,51685.0,0.0,BUY, ,510.8
81,2019-10-22,52000.0,239,51685.0,76.0, ,SELL,511.9
82,2019-10-23,52000.0,187,52187.0,0.0,BUY, ,512.4
83,2019-10-24,51500.0,236,52187.0,-923.0, ,SELL,512.65
84,2019-10-28,51500.0,185,51685.0,0.0,BUY, ,512.9
85,2019-12-23,45000.0,207,51685.0,-6892.0, ,SELL,454.7
86,2019-12-26,44800.0,161,44961.0,0.0,BUY, ,453.7
