,Date,Close Price,Fee,Purchased Price,Capital Gain,BB,CCI,BB_MAVG_20
62,2019-09-12,64000.0,230,64230.0,0.0,BUY, ,648.5
63,2019-09-13,66500.0,305,64230.0,1965.0,SELL, ,649.75
64,2019-09-16,64000.0,230,64230.0,0.0,BUY, ,649.5
65,2019-09-17,65500.0,301,64230.0,969.0, ,SELL,649.75
66,2019-09-24,64500.0,232,64732.0,0.0,BUY, ,649.75
67,2019-09-25,65500.0,301,64732.0,467.0, ,SELL,650.0
68,2019-09-26,65500.0,235,65735.0,0.0,BUY, ,650.25
69,2019-09-27,65500.0,301,65735.0,-536.0, ,SELL,650.5
70,2019-09-30,65500.0,235,65735.0,0.0,BUY, ,651.0
71,2019-10-01,66000.0,303,65735.0,-38.0,SELL, ,651.75
72,2019-10-03,65500.0,235,65735.0,0.0,BUY, ,653.25
73,2019-10-04,65500.0,301,65735.0,-536.0,SELL, ,653.5
74,2019-10-07,65500.0,235,65735.0,0.0,BUY, ,653.75
75,2019-10-10,65500.0,301,65735.0,-536.0,SELL, ,654.5
76,2019-10-11,66000.0,237,66237.0,0.0,BUY, ,654.25
77,2019-10-14,66000.0,303,66237.0,-540.0, ,SELL,655.25
78,2019-10-15,66500.0,239,66739.0,0.0,BUY, ,655.75
79,2019-10-16,67000.0,308,66739.0,-47.0, ,SELL,656.5
80,2019-10-21,65500.0,235,65735.0,0.0,BUY, ,657.75
81,2019-10-23,66000.0,303,65735.0,-38.0, ,SELL,658.75
82,2019-10-25,66500.0,239,66739.0,0.0,BUY, ,659.5
83,2019-10-28,66500.0,305,66739.0,-544.0, ,SELL,660.0
84,2019-10-29,66500.0,239,66739.0,0.0,BUY, ,660.25
85,2019-10-30,67000.0,308,66739.0,-47.0,SELL, ,660.75
86,2019-11-01,66500.0,239,66739.0,0.0,BUY, ,662.0
87,2019-11-04,66500.0,305,66739.0,-544.0, ,SELL,662.5
88,2019-11-05,66500.0,239,66739.0,0.0,BUY, ,663.25
89,2019-11-06,67000.0,308,66739.0,-47.0, ,SELL,664.0
90,2019-11-07,66500.0,239,66739.0,0.0,BUY, ,664.5
91,2019-12-16,63000.0,289,66739.0,-4028.0, ,SELL,629.5
92,2019-12-17,63000.0,226,63226.0,0.0,BUY, ,628.75
93,2019-12-19,63000.0,289,63226.0,-515.0, ,SELL,628.0
94,2019-12-20,62500.0,225,62725.0,0.0,BUY, ,627.75
95,2019-12-23,63000.0,289,62725.0,-14.0, ,SELL,627.75
96,2019-12-30,61000.0,219,61219.0,0.0,BUY, ,627.0
